offset_days_earlier,min_train_rows,fold0_test_opens,last_test_day,n_folds,r2_pooled,r2_fold_mean,r2_fold_sd,r2_fold_median,r2_fold_mean_excl_worst,worst_fold,da,majority,da_minus_majority,r2_fold_00,r2_fold_01,r2_fold_02,r2_fold_03,r2_fold_04,r2_fold_05,r2_fold_06,r2_fold_07,r2_fold_08,r2_fold_09,r2_fold_10,r2_fold_11
63,945,2014-02-27,2026-03-06,12,-0.021449277705594127,-0.030514624000855223,0.04197687852144894,-0.030843514522389093,-0.02464901833762753,5,0.5259417199715707,0.535181236673774,-0.009239516702203354,-0.027815170145824464,-0.03387185889895372,-0.07314671240885184,0.023252953155944334,-0.03732070415475497,-0.09503628629635985,-0.011600161796283537,-0.07228282463679925,0.03731533182891411,-0.07454737427469871,-0.002768682263241784,0.0016460018806470078
49,959,2014-03-19,2026-03-26,12,-0.11092269617775918,-0.07488159187889033,0.15442570301511055,-0.03756848582806416,-0.03128254739101602,6,0.5040852575488455,0.5349911190053286,-0.030905861456483108,-0.036278864397845556,-0.03885810725828276,-0.0811438004827747,0.01947964013450265,-0.03562402737445014,-0.03214272844245425,-0.5544710812455078,-0.0787867271163365,0.024844189494146796,-0.039972189968429994,-0.04033161385870376,-0.005293792030548028
37,971,2014-04-04,2026-04-14,12,-0.03781780757838704,-0.035517268395320954,0.048698935174859355,-0.036029635093563495,-0.026087017642688372,6,0.5181107954545454,0.53515625,-0.017045454545454586,-0.015017720503317511,-0.05118007147417858,-0.05599421544840433,0.02921217058315484,-0.0732496284628743,-0.02087919871294841,-0.13925002667427933,-0.0690556357356793,0.028743393547453255,-0.018201140616490363,0.014110792749710943,-0.05544593999599834
25,983,2014-04-23,2026-04-30,12,-0.02699989289892568,-0.029606894171427322,0.04278321798589863,-0.03323388621509615,-0.024240166892910045,4,0.5111821086261981,0.5353212637557685,-0.024139155129570433,-0.022028795536607193,-0.044438976893585114,-0.056328129677893246,0.032443252126613586,-0.08864089423511734,-0.014349598900478933,-0.06355740456159964,-0.07904276202591398,0.045801306005682885,-0.05631977851459413,-0.016835114251928962,0.008014166408294221
12,996,2014-05-12,2026-05-19,12,-0.0255436178799191,-0.020149982452968895,0.035146380643239085,-0.01307276235797794,-0.014599575444936053,4,0.5198863636363636,0.5362215909090909,-0.016335227272727293,-0.00879741589917793,-0.07572781479145241,0.018689897728133564,0.009438648241618997,-0.08120445954133015,-0.019360188815539914,-0.0480155481209279,-0.04679617549301063,0.02047685758443396,0.00433744699679528,-0.017348108816777952,0.002507071491608337
0,1008,2014-05-29,2026-06-05,12,-0.025129781665680806,-0.020407546119595932,0.035747329807149536,-0.008662857645346689,-0.013574832997432411,4,0.5241305890702626,0.535486160397445,-0.011355571327182457,-0.008617985580052112,-0.08432008352956699,-0.007455723073990228,0.01359676412062416,-0.09556739046339469,-0.02572851796705078,-0.030217748003894984,0.0027572573062890626,0.0015214761631808793,-0.021488014334502648,-0.008707729710641265,0.019337141637848387
-12,1020,2014-06-16,2026-06-24,12,-0.025216147058610527,-0.017323431766573905,0.0395502645863218,-0.010845381900810191,-0.010257224133110547,4,0.5230660042583393,0.5351312987934705,-0.012065294535131277,-0.01199490541352577,-0.0779601648111945,0.01676453161337721,0.04031009034993027,-0.09505171573467086,-0.018250829444368843,-0.05164881784177622,-0.010441410104679916,-0.0014665594499374546,-0.006112956138198733,-0.011249353696940467,0.019220909473098402
-25,1033,2014-07-03,2026-07-14,12,-0.025395741993634147,-0.019335203285423697,0.03705130501888885,-0.009856744283289753,-0.012365224250472383,4,0.5182559376107764,0.5352711804324708,-0.01701524282169442,-0.008648978161659882,-0.07144886950678564,0.013964361410112702,0.005539299181858026,-0.09600497266988817,-0.013012741981294207,-0.061722813158433976,-0.011064510404919625,0.024179411054589206,-0.0018515088769095467,-0.016066578671941167,0.004115462360187894
-37,1045,2014-07-22,2026-07-30,12,-0.023245038628297188,-0.018604524778941672,0.03548507714659278,-0.017149764598114903,-0.012274059401608951,4,0.5141743444365698,0.5357902197023388,-0.021615875265768913,-0.008108036433401411,-0.07823415802590161,0.019427359929860777,-0.01924042040993812,-0.0882396439296016,-0.015227548838195215,-0.022705828299542485,-0.01907198035803459,0.029497114806458336,0.015540864549517308,-0.032251463198909036,-0.004640557139612422
-49,1057,2014-08-07,2026-08-17,12,-0.023437664437190753,-0.017503960906774724,0.03234112100137185,-0.021150277347904978,-0.011037993481933905,4,0.5109851169383416,0.536144578313253,-0.02515946137491143,-0.02162533086579055,-0.049709755894962404,-0.000332873590529692,0.010122542549085511,-0.08862960258002373,-0.028821728469688557,-0.03660009706662115,-0.023744426553340636,0.024596515288331844,0.0027563692363913317,-0.020675223830019407,0.02261608089587075
